Distributed training: False
Set random seed to 0
**********************Start training**********************
epoch[1][1520/1856]: lr: 0.000304, aux_loss_cls: 0.031126, aux_loss_reg: 0.191198, rpn_loc_loss: 0.662210, rpn_cls_loss: 0.230535, rpn_dir_loss: 0.112708, loss_cls: 0.135415, loss: 1.363192
epoch[1][1540/1856]: lr: 0.000304, aux_loss_cls: 0.027417, aux_loss_reg: 0.192327, rpn_loc_loss: 0.689954, rpn_cls_loss: 0.237361, rpn_dir_loss: 0.118490, loss_cls: 0.133437, loss: 1.398986
epoch[1][1560/1856]: lr: 0.000305, aux_loss_cls: 0.030647, aux_loss_reg: 0.185092, rpn_loc_loss: 0.687885, rpn_cls_loss: 0.241147, rpn_dir_loss: 0.116833, loss_cls: 0.136738, loss: 1.398343
epoch[1][1580/1856]: lr: 0.000305, aux_loss_cls: 0.031020, aux_loss_reg: 0.199825, rpn_loc_loss: 0.679729, rpn_cls_loss: 0.239867, rpn_dir_loss: 0.116809, loss_cls: 0.142431, loss: 1.409681
epoch[1][1600/1856]: lr: 0.000305, aux_loss_cls: 0.026188, aux_loss_reg: 0.183073, rpn_loc_loss: 0.719885, rpn_cls_loss: 0.231228, rpn_dir_loss: 0.114485, loss_cls: 0.131888, loss: 1.406748
epoch[1][1620/1856]: lr: 0.000305, aux_loss_cls: 0.030167, aux_loss_reg: 0.182183, rpn_loc_loss: 0.707548, rpn_cls_loss: 0.236150, rpn_dir_loss: 0.108591, loss_cls: 0.137013, loss: 1.401652
epoch[1][1640/1856]: lr: 0.000305, aux_loss_cls: 0.027411, aux_loss_reg: 0.181064, rpn_loc_loss: 0.634276, rpn_cls_loss: 0.233145, rpn_dir_loss: 0.113151, loss_cls: 0.134877, loss: 1.323924
epoch[1][1660/1856]: lr: 0.000305, aux_loss_cls: 0.025928, aux_loss_reg: 0.165096, rpn_loc_loss: 0.690030, rpn_cls_loss: 0.231198, rpn_dir_loss: 0.116392, loss_cls: 0.133823, loss: 1.362468
epoch[1][1680/1856]: lr: 0.000305, aux_loss_cls: 0.026009, aux_loss_reg: 0.174177, rpn_loc_loss: 0.667458, rpn_cls_loss: 0.226691, rpn_dir_loss: 0.111545, loss_cls: 0.128463, loss: 1.334343
epoch[1][1700/1856]: lr: 0.000305, aux_loss_cls: 0.024768, aux_loss_reg: 0.174650, rpn_loc_loss: 0.654749, rpn_cls_loss: 0.220698, rpn_dir_loss: 0.113611, loss_cls: 0.134712, loss: 1.323188
epoch[1][1720/1856]: lr: 0.000306, aux_loss_cls: 0.030647, aux_loss_reg: 0.198148, rpn_loc_loss: 0.671089, rpn_cls_loss: 0.227597, rpn_dir_loss: 0.111505, loss_cls: 0.133125, loss: 1.372112
epoch[1][1740/1856]: lr: 0.000306, aux_loss_cls: 0.025319, aux_loss_reg: 0.159743, rpn_loc_loss: 0.636716, rpn_cls_loss: 0.220574, rpn_dir_loss: 0.110569, loss_cls: 0.127363, loss: 1.280283
epoch[1][1760/1856]: lr: 0.000306, aux_loss_cls: 0.023072, aux_loss_reg: 0.178610, rpn_loc_loss: 0.667556, rpn_cls_loss: 0.223529, rpn_dir_loss: 0.108296, loss_cls: 0.131708, loss: 1.332772
epoch[1][1780/1856]: lr: 0.000306, aux_loss_cls: 0.027078, aux_loss_reg: 0.189728, rpn_loc_loss: 0.662529, rpn_cls_loss: 0.233549, rpn_dir_loss: 0.111457, loss_cls: 0.132772, loss: 1.357112
epoch[1][1800/1856]: lr: 0.000306, aux_loss_cls: 0.023805, aux_loss_reg: 0.168125, rpn_loc_loss: 0.657607, rpn_cls_loss: 0.220302, rpn_dir_loss: 0.112003, loss_cls: 0.127111, loss: 1.308954
epoch[1][1820/1856]: lr: 0.000306, aux_loss_cls: 0.022862, aux_loss_reg: 0.154725, rpn_loc_loss: 0.664387, rpn_cls_loss: 0.215877, rpn_dir_loss: 0.104421, loss_cls: 0.124378, loss: 1.286650
epoch[1][1840/1856]: lr: 0.000306, aux_loss_cls: 0.025356, aux_loss_reg: 0.165076, rpn_loc_loss: 0.627051, rpn_cls_loss: 0.226639, rpn_dir_loss: 0.108332, loss_cls: 0.121914, loss: 1.274369
epoch[2][20/1856]: lr: 0.000307, aux_loss_cls: 0.024706, aux_loss_reg: 0.166164, rpn_loc_loss: 0.660444, rpn_cls_loss: 0.211693, rpn_dir_loss: 0.100153, loss_cls: 0.125972, loss: 1.289133
epoch[2][40/1856]: lr: 0.000307, aux_loss_cls: 0.028034, aux_loss_reg: 0.170396, rpn_loc_loss: 0.650721, rpn_cls_loss: 0.230484, rpn_dir_loss: 0.109400, loss_cls: 0.129168, loss: 1.318204
epoch[2][60/1856]: lr: 0.000307, aux_loss_cls: 0.025239, aux_loss_reg: 0.172417, rpn_loc_loss: 0.686824, rpn_cls_loss: 0.213409, rpn_dir_loss: 0.109310, loss_cls: 0.131459, loss: 1.338659
epoch[2][80/1856]: lr: 0.000307, aux_loss_cls: 0.025431, aux_loss_reg: 0.182913, rpn_loc_loss: 0.681469, rpn_cls_loss: 0.221924, rpn_dir_loss: 0.111443, loss_cls: 0.130859, loss: 1.354039
epoch[2][100/1856]: lr: 0.000307, aux_loss_cls: 0.025983, aux_loss_reg: 0.170884, rpn_loc_loss: 0.664010, rpn_cls_loss: 0.233489, rpn_dir_loss: 0.111680, loss_cls: 0.129637, loss: 1.335684
epoch[2][120/1856]: lr: 0.000307, aux_loss_cls: 0.026977, aux_loss_reg: 0.161415, rpn_loc_loss: 0.614965, rpn_cls_loss: 0.202441, rpn_dir_loss: 0.103676, loss_cls: 0.118843, loss: 1.228318
epoch[2][140/1856]: lr: 0.000308, aux_loss_cls: 0.024836, aux_loss_reg: 0.156298, rpn_loc_loss: 0.660690, rpn_cls_loss: 0.211499, rpn_dir_loss: 0.110316, loss_cls: 0.118612, loss: 1.282250
epoch[2][160/1856]: lr: 0.000308, aux_loss_cls: 0.024098, aux_loss_reg: 0.168333, rpn_loc_loss: 0.665876, rpn_cls_loss: 0.221504, rpn_dir_loss: 0.103447, loss_cls: 0.118689, loss: 1.301948
epoch[2][180/1856]: lr: 0.000308, aux_loss_cls: 0.028526, aux_loss_reg: 0.179983, rpn_loc_loss: 0.655286, rpn_cls_loss: 0.207847, rpn_dir_loss: 0.115011, loss_cls: 0.127749, loss: 1.314402
epoch[2][200/1856]: lr: 0.000308, aux_loss_cls: 0.025455, aux_loss_reg: 0.186290, rpn_loc_loss: 0.613834, rpn_cls_loss: 0.203328, rpn_dir_loss: 0.105909, loss_cls: 0.122186, loss: 1.257001
epoch[2][220/1856]: lr: 0.000308, aux_loss_cls: 0.025717, aux_loss_reg: 0.165913, rpn_loc_loss: 0.685979, rpn_cls_loss: 0.214008, rpn_dir_loss: 0.098594, loss_cls: 0.124102, loss: 1.314313
epoch[2][240/1856]: lr: 0.000308, aux_loss_cls: 0.020711, aux_loss_reg: 0.161236, rpn_loc_loss: 0.655270, rpn_cls_loss: 0.218076, rpn_dir_loss: 0.100682, loss_cls: 0.123776, loss: 1.279750
epoch[2][260/1856]: lr: 0.000308, aux_loss_cls: 0.022128, aux_loss_reg: 0.151611, rpn_loc_loss: 0.619668, rpn_cls_loss: 0.199790, rpn_dir_loss: 0.103861, loss_cls: 0.126255, loss: 1.223313
epoch[2][280/1856]: lr: 0.000309, aux_loss_cls: 0.021858, aux_loss_reg: 0.153346, rpn_loc_loss: 0.623833, rpn_cls_loss: 0.192615, rpn_dir_loss: 0.102845, loss_cls: 0.118235, loss: 1.212732
epoch[2][300/1856]: lr: 0.000309, aux_loss_cls: 0.024166, aux_loss_reg: 0.160711, rpn_loc_loss: 0.649114, rpn_cls_loss: 0.206325, rpn_dir_loss: 0.096438, loss_cls: 0.120201, loss: 1.256955
epoch[2][320/1856]: lr: 0.000309, aux_loss_cls: 0.023717, aux_loss_reg: 0.153470, rpn_loc_loss: 0.647082, rpn_cls_loss: 0.206761, rpn_dir_loss: 0.101939, loss_cls: 0.115527, loss: 1.248495
epoch[2][340/1856]: lr: 0.000309, aux_loss_cls: 0.025719, aux_loss_reg: 0.179407, rpn_loc_loss: 0.633332, rpn_cls_loss: 0.199401, rpn_dir_loss: 0.102372, loss_cls: 0.114974, loss: 1.255205
epoch[2][360/1856]: lr: 0.000309, aux_loss_cls: 0.026597, aux_loss_reg: 0.148890, rpn_loc_loss: 0.628510, rpn_cls_loss: 0.196847, rpn_dir_loss: 0.100634, loss_cls: 0.115201, loss: 1.216679
epoch[2][380/1856]: lr: 0.000309, aux_loss_cls: 0.024282, aux_loss_reg: 0.163129, rpn_loc_loss: 0.599277, rpn_cls_loss: 0.184512, rpn_dir_loss: 0.099511, loss_cls: 0.105155, loss: 1.175867
